,text,label,label_name,text_clean
40,i woke up feeling pretty rotten from the weekend this morning even though yesterday i felt fine,0,sadness,i woke up feeling pretty rotten from the weekend this morning even though yesterday i felt fine
41,i feel like people have shamed me for being so,0,sadness,i feel like people have shamed me for being so
42,i still feel incredibly listless being in albuquerque but at least the weather is improving more or less,0,sadness,i still feel incredibly listless being in albuquerque but at least the weather is improving more or less
43,i always feel a little sad when he goes as we sorta have a ren and stimpy theme about us oil and water gemini and scorpio soulmate friends,0,sadness,i always feel a little sad when he goes as we sorta have a ren and stimpy theme about us oil and water gemini and scorpio soulmate friends
44,i open my eyes in the morning my heart feels empty,0,sadness,i open my eyes in the morning my heart feels empty
45,i loved feeling lily move and have missed it so much,0,sadness,i loved feeling lily move and have missed it so much
46,i havent really talked to anyone about it in depth because i feel like im being whiney repetetive and needy,0,sadness,i havent really talked to anyone about it in depth because i feel like im being whiney repetetive and needy
47,i am in an internet cafe with both kids because i feel neglectful of my blog but this is chaotic,0,sadness,i am in an internet cafe with both kids because i feel neglectful of my blog but this is chaotic
48,i feel like robin is very troubled right now maeve feel free to comment,0,sadness,i feel like robin is very troubled right now maeve feel free to comment
49,i feel this way is probably because i am dumb and i try my hardest to cover it up by reading lots and lots of books or you know becoming a doctor,0,sadness,i feel this way is probably because i am dumb and i try my hardest to cover it up by reading lots and lots of books or you know becoming a doctor
50,i think about it how harmless that insect is i feel pathetic to be so overpowered by fear,0,sadness,i think about it how harmless that insect is i feel pathetic to be so overpowered by fear
51,ive been feeling weepy and sensitive today as time rolls towards the anniversary of my fathers death,0,sadness,ive been feeling weepy and sensitive today as time rolls towards the anniversary of my fathers death
52,i feel more jaded,0,sadness,i feel more jaded
53,i feel like an idiot around my friends target blank rel nofollow title friendfeed img src http dearwendy,0,sadness,i feel like an idiot around my friends target blank rel nofollow title friendfeed img src http dearwendy
54,im feeling quite lonely here now and its only monday of half term,0,sadness,im feeling quite lonely here now and its only monday of half term
55,i feel like i missed that ship when it sailed,0,sadness,i feel like i missed that ship when it sailed
56,i have depression and things just started getting better but today i felt so bad you know they feeling in the pit of you heart that your a worthless failure,0,sadness,i have depression and things just started getting better but today i felt so bad you know they feeling in the pit of you heart that your a worthless failure
57,i feel so pathetic that i stoop down to that level but i really really just want to be happy with whatever i have,0,sadness,i feel so pathetic that i stoop down to that level but i really really just want to be happy with whatever i have
58,i begin to feel burdened by things amp long to be empty again,0,sadness,i begin to feel burdened by things amp long to be empty again
59,im feeling lethargic these days hence the long hiatus,0,sadness,im feeling lethargic these days hence the long hiatus
60,i must say that this makeover has been all consuming coupled with some major changes at work coworkers having babies and i feel like i have been a neglectful lady,0,sadness,i must say that this makeover has been all consuming coupled with some major changes at work coworkers having babies and i feel like i have been a neglectful lady
61,i love you to me actually made me feel dismayed and disappointed,0,sadness,i love you to me actually made me feel dismayed and disappointed
62,i feel terrible and sexist whenever im in a group of women and they start talking about dieting and my brain automatically drops the t,0,sadness,i feel terrible and sexist whenever im in a group of women and they start talking about dieting and my brain automatically drops the t
63,i feel so remorseful for doing this to him,0,sadness,i feel so remorseful for doing this to him
64,i feel is a dull worry,0,sadness,i feel is a dull worry
65,i feel lonely i remember my moms saying,0,sadness,i feel lonely i remember my moms saying
66,i remember reading red seas under red skies and feeling a bit disappointed,0,sadness,i remember reading red seas under red skies and feeling a bit disappointed
67,i would really recommend taking this approach because the last thing you want is to feel disappointed when your little nugget arrives,0,sadness,i would really recommend taking this approach because the last thing you want is to feel disappointed when your little nugget arrives
68,i feel so all alone no ones gonna fix me when im broke how do you cry with inanimate eyes,0,sadness,i feel so all alone no ones gonna fix me when im broke how do you cry with inanimate eyes
69,i came back and for some reason my mind feels blank,0,sadness,i came back and for some reason my mind feels blank
70,i finally feel like im getting treatment for my injury and that im not being punished for having been injured during an assault,0,sadness,i finally feel like im getting treatment for my injury and that im not being punished for having been injured during an assault
71,id just had a terrible nightmare and was feeling a little disturbed,0,sadness,id just had a terrible nightmare and was feeling a little disturbed
72,im feeling stressed and tired and after that flight i really dont want to get on another one,0,sadness,im feeling stressed and tired and after that flight i really dont want to get on another one
73,i was feeling when nick broke up with me over,0,sadness,i was feeling when nick broke up with me over
74,i was not aware of his point of view as a white european who had undertaken this trip as a fulfillment of a childhood dream but maybe because of this awareness i was able to feel the tragic dawning marlowe experiences of humanitys ruthless rapacity and greed,0,sadness,i was not aware of his point of view as a white european who had undertaken this trip as a fulfillment of a childhood dream but maybe because of this awareness i was able to feel the tragic dawning marlowe experiences of humanitys ruthless rapacity and greed
75,i feel awful for so but he has to know im not lying about what the kid does sometimes if hell stoop to pending on himself,0,sadness,i feel awful for so but he has to know im not lying about what the kid does sometimes if hell stoop to pending on himself
76,i feel i might have been too gloomy about it,0,sadness,i feel i might have been too gloomy about it
77,i thought i exhausted all emotions i held all the frustration and confusion and still here i am having so much more to give so much more to feel i look at this blank white piece of paper and i want to fill it with colours with motion but it still seems so blank,0,sadness,i thought i exhausted all emotions i held all the frustration and confusion and still here i am having so much more to give so much more to feel i look at this blank white piece of paper and i want to fill it with colours with motion but it still seems so blank
78,i hear are owners who feel victimized by their associations the associations attorneys or the property manager,0,sadness,i hear are owners who feel victimized by their associations the associations attorneys or the property manager
79,i had been feeling extremely homesick the first two days,0,sadness,i had been feeling extremely homesick the first two days
80,i feel even if he killed himself it was because he was agonized to that extent,0,sadness,i feel even if he killed himself it was because he was agonized to that extent
81,i feel like my house is constantly messy and i feel like i am always cleaning up after them,0,sadness,i feel like my house is constantly messy and i feel like i am always cleaning up after them
82,i didnt feel any emotional pulls toward anyone except the lord,0,sadness,i didnt feel any emotional pulls toward anyone except the lord
83,i am moving on and i feel sorry for you because i thought you were the most amazing boy ever,0,sadness,i am moving on and i feel sorry for you because i thought you were the most amazing boy ever
84,i think this will help somebody out there that feels hopeless and alone,0,sadness,i think this will help somebody out there that feels hopeless and alone
85,im feeling really lonely and feeling like im missing a part of myself,0,sadness,im feeling really lonely and feeling like im missing a part of myself
86,i do not know how to feel my hearts aching sadness over the loss of those good and kind people and all the other connected losses a href http,0,sadness,i do not know how to feel my hearts aching sadness over the loss of those good and kind people and all the other connected losses a href http
87,i feel terrible about that,0,sadness,i feel terrible about that
88,when india lost the benson and hedges cricket trophy,0,sadness,when india lost the benson and hedges cricket trophy
89,i feel like the saddest most pathetic piece of shit on this planet,0,sadness,i feel like the saddest most pathetic piece of shit on this planet
90,i am feeling regretful and i apologise,0,sadness,i am feeling regretful and i apologise
91,im feeling gloomy today,0,sadness,im feeling gloomy today
92,i feel like this is like fake bogart said at one point in the show,0,sadness,i feel like this is like fake bogart said at one point in the show
93,i feel devastated disgusted and betrayed,0,sadness,i feel devastated disgusted and betrayed
94,i was running hard i was running fast and i feel like the last minutes i was probably hitting low s,0,sadness,i was running hard i was running fast and i feel like the last minutes i was probably hitting low s
95,i wonder if am i alone in the fact that i am able to identify my destructive behaviors yet feel doomed to repeat them,0,sadness,i wonder if am i alone in the fact that i am able to identify my destructive behaviors yet feel doomed to repeat them
96,i don t believe these feelings can be blamed solely on the lack of empathy towards family life by government policy makers and employers which the analysis on this survey would seem to suggest,0,sadness,i don t believe these feelings can be blamed solely on the lack of empathy towards family life by government policy makers and employers which the analysis on this survey would seem to suggest
97,i am crushed and think of suicide but i will not ever ever give up on my kids i will fight and prove her psychotic behavior to everyone she has noconscience and feels joy to hurt me but i will prevail,0,sadness,i am crushed and think of suicide but i will not ever ever give up on my kids i will fight and prove her psychotic behavior to everyone she has noconscience and feels joy to hurt me but i will prevail
98,i feel weepy and that makes me want to avoid people so i dont freak them out,0,sadness,i feel weepy and that makes me want to avoid people so i dont freak them out
99,im feeling lousy right now,0,sadness,im feeling lousy right now
100,i hadn t seen for two years spending a sun filled day at the aussie open followed by dumplings at chinatown and a lemonade in a leafy beer garden feeling like i had stepped back in time at labour in vain on brunswick street attending a backyard barbecue and visiting edinburgh gardens for aussie day,0,sadness,i hadn t seen for two years spending a sun filled day at the aussie open followed by dumplings at chinatown and a lemonade in a leafy beer garden feeling like i had stepped back in time at labour in vain on brunswick street attending a backyard barbecue and visiting edinburgh gardens for aussie day
101,i was feeling discouraged and disgruntled and i was a href http tracifishbowl,0,sadness,i was feeling discouraged and disgruntled and i was a href http tracifishbowl
102,ill just paraphrase i ranted about not being able to trust anybody and being hurt feeling rejected etc,0,sadness,ill just paraphrase i ranted about not being able to trust anybody and being hurt feeling rejected etc
103,i had a secretary called fran who had landed from dublin on a whim and much to her surprise found herself in a permanent job before she had a chance to feel homesick and head back to holyhead,0,sadness,i had a secretary called fran who had landed from dublin on a whim and much to her surprise found herself in a permanent job before she had a chance to feel homesick and head back to holyhead
104,i feel horrible having to say not right now so often,0,sadness,i feel horrible having to say not right now so often
105,i would feel disheartened so i would then go and do cardio for another hour to achieve calories,0,sadness,i would feel disheartened so i would then go and do cardio for another hour to achieve calories
106,i still feel ashamed that i live in a world of people who dont know how,0,sadness,i still feel ashamed that i live in a world of people who dont know how
107,i still feel so empty and lonely,0,sadness,i still feel so empty and lonely
108,i was feeling stressed we were all like coiled springs and it wasnt going to end well,0,sadness,i was feeling stressed we were all like coiled springs and it wasnt going to end well
109,i feel like i have been beaten hard with a baseball bat under my arm which the doctor said was a very apt description,0,sadness,i feel like i have been beaten hard with a baseball bat under my arm which the doctor said was a very apt description
110,i feel drained without clozapine,0,sadness,i feel drained without clozapine
111,i feel less shitty,0,sadness,i feel less shitty
112,i feel like everything i do i will make a mistake and i will be punished,0,sadness,i feel like everything i do i will make a mistake and i will be punished
113,i sure feel sorry for what happened to your friend diego he was your friend right,0,sadness,i sure feel sorry for what happened to your friend diego he was your friend right
114,im excited to see where this goes and at least i feel like im doing something rather than just sitting around feeling unhappy with how things are,0,sadness,im excited to see where this goes and at least i feel like im doing something rather than just sitting around feeling unhappy with how things are
115,i really feel deprived,0,sadness,i really feel deprived
116,i suppose it s partly my fault for forgetting my earplugs but it s still really frustrating to feel like you re being permanently damaged for no apparent reason,0,sadness,i suppose it s partly my fault for forgetting my earplugs but it s still really frustrating to feel like you re being permanently damaged for no apparent reason
117,i always feel dirty and used,0,sadness,i always feel dirty and used
118,im like not even that relieved that its done because i know i could have done better so i feel kind of regretful about that,0,sadness,im like not even that relieved that its done because i know i could have done better so i feel kind of regretful about that
119,ive been procrastinating about the post birthday entry and now that its well past the fact it feels somewhat unimportant to even mention,0,sadness,ive been procrastinating about the post birthday entry and now that its well past the fact it feels somewhat unimportant to even mention
120,i understand and appreciate the concern for safety i feel that the real focus of the market the vendors has been ignored,0,sadness,i understand and appreciate the concern for safety i feel that the real focus of the market the vendors has been ignored
121,i can t fix this and am anticipating feeling humiliated when i see workmates and friends,0,sadness,i can t fix this and am anticipating feeling humiliated when i see workmates and friends
122,i feel horrible rel bookmark permalink,0,sadness,i feel horrible rel bookmark permalink
123,i feel unimportant so inadequate,0,sadness,i feel unimportant so inadequate
124,i read the ny times i feel very inadequate,0,sadness,i read the ny times i feel very inadequate
125,i think that now if i were to ride it without you or with another person present i would feel disheartened,0,sadness,i think that now if i were to ride it without you or with another person present i would feel disheartened
126,i feel awkward and so i start acting awkward lol,0,sadness,i feel awkward and so i start acting awkward lol
127,i started to feel homesick for the first time in my life even though i had lived abroad before for years,0,sadness,i started to feel homesick for the first time in my life even though i had lived abroad before for years
128,i feel a lot of this almost every day and it does hurt so this blog is very timely,0,sadness,i feel a lot of this almost every day and it does hurt so this blog is very timely
129,i spent the rest of the morning feeling discouraged and disappointed,0,sadness,i spent the rest of the morning feeling discouraged and disappointed
130,i liked my keyboard being kicked in my teeth and feeling lousy about myself as a writer but because i want to know how i can improve and wonder what i did wrong to earn only one star,0,sadness,i liked my keyboard being kicked in my teeth and feeling lousy about myself as a writer but because i want to know how i can improve and wonder what i did wrong to earn only one star
131,i should feel all weepy,0,sadness,i should feel all weepy
132,i then wonder if the girl does want to marry me and contemplate that feeling slightly disheartened,0,sadness,i then wonder if the girl does want to marry me and contemplate that feeling slightly disheartened
133,i feel a lot of bids i put in for work in for will get beaten on price and price alone,0,sadness,i feel a lot of bids i put in for work in for will get beaten on price and price alone
134,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed,0,sadness,i still love my so and wish the best for him i can no longer tolerate the effect that bm has on our lives and the fact that is has turned my so into a bitter angry person who is not always particularly kind to the people around him when he is feeling stressed
135,i feel it is unfortunate that my companion differs,0,sadness,i feel it is unfortunate that my companion differs
136,i have to cop out on feeling regretful,0,sadness,i have to cop out on feeling regretful
137,i feel disappointed because i spent time on it and do something differently to create an interesting composition,0,sadness,i feel disappointed because i spent time on it and do something differently to create an interesting composition
138,i feel lethargic and lazy and completely uncomposed if i m not dressed in something like that,0,sadness,i feel lethargic and lazy and completely uncomposed if i m not dressed in something like that
139,i drank a lot and i got my hands on all sorts of drugs but most of the pain im feeling today can be blamed on lack of sleep and the hours we spent walking around atlanta,0,sadness,i drank a lot and i got my hands on all sorts of drugs but most of the pain im feeling today can be blamed on lack of sleep and the hours we spent walking around atlanta
140,i like feeling submissive or at the very least that my lover is dominant,0,sadness,i like feeling submissive or at the very least that my lover is dominant
141,i still feel disappointed though,0,sadness,i still feel disappointed though
142,i and most women don t feel particularly burdened by taking the pill there is some unfairness to it,0,sadness,i and most women don t feel particularly burdened by taking the pill there is some unfairness to it
143,i realized grudgingly that a feeling of discontent had begun to rise in me,0,sadness,i realized grudgingly that a feeling of discontent had begun to rise in me
144,i hate for anyone to ever feel left out awkward or less than,0,sadness,i hate for anyone to ever feel left out awkward or less than
145,i had continued to think along those lines i probably would have done the dishes in anger and when he got up wed have had a fight about that with me feeling completely abused,0,sadness,i had continued to think along those lines i probably would have done the dishes in anger and when he got up wed have had a fight about that with me feeling completely abused
146,i have really notcied is my mental clarity like im finally beginning to wake up after years of a foggy brain and feeling lethargic,0,sadness,i have really notcied is my mental clarity like im finally beginning to wake up after years of a foggy brain and feeling lethargic
147,i feel awkward because i have a grown child of my own but at the same time i try to place myself in their shoes and when i do that i realize i would do the same for my child no matter the age,0,sadness,i feel awkward because i have a grown child of my own but at the same time i try to place myself in their shoes and when i do that i realize i would do the same for my child no matter the age
148,i havent gone a week without exaggerated eyelids since year at school i feel pretty fucking shitty,0,sadness,i havent gone a week without exaggerated eyelids since year at school i feel pretty fucking shitty
149,i feel like not enough people my age actually think that most are pretty devastated that their s have come and gone,0,sadness,i feel like not enough people my age actually think that most are pretty devastated that their s have come and gone
150,i feel that she was trying to hurt me,0,sadness,i feel that she was trying to hurt me
151,im feeling slightly empty right now as if i want to reach out my hand for someone anyone to hold,0,sadness,im feeling slightly empty right now as if i want to reach out my hand for someone anyone to hold
152,i am heavy and i feel dull all over i think i ve stopped breathing,0,sadness,i am heavy and i feel dull all over i think i ve stopped breathing
153,im an introvert by which i mean i get re energized being alone and preferably in a quiet place so times in the crew galley when there are a lot of people in a relatively small place all talking at once can leave me feeling drained and in need of a dark room with nothing but whale noises,0,sadness,im an introvert by which i mean i get re energized being alone and preferably in a quiet place so times in the crew galley when there are a lot of people in a relatively small place all talking at once can leave me feeling drained and in need of a dark room with nothing but whale noises
154,i begin to feel embarrassed about the way i acted and sometimes i just feel downright unloveable,0,sadness,i begin to feel embarrassed about the way i acted and sometimes i just feel downright unloveable
155,i kept feeling like i missed something and i needed to go back and re read,0,sadness,i kept feeling like i missed something and i needed to go back and re read
156,i feel like all the unsuccessful endeavors in my friends lives are my fault,0,sadness,i feel like all the unsuccessful endeavors in my friends lives are my fault
157,i often feel real gloomy theres always another large government program on the horizon our freedoms are consistently contracted our wallets are pilfered for the benefit of fat cat corporate bankers and the public continues to vote in the politicians who steal from us every day,0,sadness,i often feel real gloomy theres always another large government program on the horizon our freedoms are consistently contracted our wallets are pilfered for the benefit of fat cat corporate bankers and the public continues to vote in the politicians who steal from us every day
158,i feel as though this was a project we missed in february or last years february,0,sadness,i feel as though this was a project we missed in february or last years february
159,i feel like a regretful soul,0,sadness,i feel like a regretful soul
160,i were dating myself right now i d be telling my girlfriends that i feel ignored unloved under appreciated and like i m not a priority,0,sadness,i were dating myself right now i d be telling my girlfriends that i feel ignored unloved under appreciated and like i m not a priority
161,i get to feeling vain about it i start thinking of it as a battle scar and one that i will wear proudly,0,sadness,i get to feeling vain about it i start thinking of it as a battle scar and one that i will wear proudly
162,i feel exhausted and just want to be taken care of,0,sadness,i feel exhausted and just want to be taken care of
163,i feel guilty sitting down during this concert because he s working so hard,0,sadness,i feel guilty sitting down during this concert because he s working so hard
164,i feel completely inadequate and unable to express any of it in words,0,sadness,i feel completely inadequate and unable to express any of it in words
165,i think its the feeling stupid part because i couldnt tell you were lying,0,sadness,i think its the feeling stupid part because i couldnt tell you were lying
166,i don t feel groggy or like i can sleep any more this morning,0,sadness,i don t feel groggy or like i can sleep any more this morning
167,i was sick of feeling so lethargic all the time,0,sadness,i was sick of feeling so lethargic all the time
168,i feel so pained by a situation or circumstance or i become so frustrated by something that is so out of my control and completely unacceptable that instead of looking like a crazy person running around cursing and screaming i throw a tantrum in my mind,0,sadness,i feel so pained by a situation or circumstance or i become so frustrated by something that is so out of my control and completely unacceptable that instead of looking like a crazy person running around cursing and screaming i throw a tantrum in my mind
169,i just feel so listless and lost,0,sadness,i just feel so listless and lost
170,i am feeling so weepy and emotional still,0,sadness,i am feeling so weepy and emotional still
171,im feeling very sentimental tonight,0,sadness,im feeling very sentimental tonight
172,i used to walk over to my neighbors and hang out with him while he worked in his shop but i kinda got the feeling i was unwelcome,0,sadness,i used to walk over to my neighbors and hang out with him while he worked in his shop but i kinda got the feeling i was unwelcome
173,i am feeling to embarrassed about my body to take my son to the local pool i ll think of this poor woman and just rock the most scandalous piece of swimwear available,0,sadness,i am feeling to embarrassed about my body to take my son to the local pool i ll think of this poor woman and just rock the most scandalous piece of swimwear available
174,i do hope that some simply transferred to another benedictine monastery that they didn t all feel so disillusioned that they walked away from monastic life altogether,0,sadness,i do hope that some simply transferred to another benedictine monastery that they didn t all feel so disillusioned that they walked away from monastic life altogether
175,i am still working on how to get past feeling deprived by saying no to foods that are fat sugar filled,0,sadness,i am still working on how to get past feeling deprived by saying no to foods that are fat sugar filled
176,i guess this isnt a very exciting story but it really meant a lot to me and made me feel less crappy about my job and less fearful of the strangers of this world because some can actually turn out to be quite nice and quite funny,0,sadness,i guess this isnt a very exciting story but it really meant a lot to me and made me feel less crappy about my job and less fearful of the strangers of this world because some can actually turn out to be quite nice and quite funny
177,i literally just text tychelle to see if she wants to hang out because reading what i just wrote about my nonexistent social life made me feel so pathetic,0,sadness,i literally just text tychelle to see if she wants to hang out because reading what i just wrote about my nonexistent social life made me feel so pathetic
178,i find this meeting a little scolding when anyone with less than five years of sobriety attempts to engage theres a definite feeling in the air that some horrible crime is being committed,0,sadness,i find this meeting a little scolding when anyone with less than five years of sobriety attempts to engage theres a definite feeling in the air that some horrible crime is being committed
179,ive been meeting up many people since this semester but tonight at cinderalla i couldnt help but feeling sorrowful and down,0,sadness,ive been meeting up many people since this semester but tonight at cinderalla i couldnt help but feeling sorrowful and down
180,i would recommend it strongly for any who feel isolated or lonely or even just interested in getting together with people in a still living good old fashioned truly diverse americana kind of way,0,sadness,i would recommend it strongly for any who feel isolated or lonely or even just interested in getting together with people in a still living good old fashioned truly diverse americana kind of way
181,i woke up even more tired than the night before and feeling groggy,0,sadness,i woke up even more tired than the night before and feeling groggy
182,i didnt feel so stupid then but a still little bit ignorant compared with the native african healers who have been using this for over a century,0,sadness,i didnt feel so stupid then but a still little bit ignorant compared with the native african healers who have been using this for over a century
183,i feel terrible but i can t even remember all the girls that came to pray with me last night,0,sadness,i feel terrible but i can t even remember all the girls that came to pray with me last night
184,i hoped to get from her this weekend in an attempt to not feel so utterly isolated inside ambleside with the curtains firmly closed on what was the warmest sunniest day of the year so far,0,sadness,i hoped to get from her this weekend in an attempt to not feel so utterly isolated inside ambleside with the curtains firmly closed on what was the warmest sunniest day of the year so far
185,i do realize that this is a unique situation and is by no means representative of the majority of amazing birth moms out there who make hard decisions in the best interests of their children but i can t help but feel jaded by the experience,0,sadness,i do realize that this is a unique situation and is by no means representative of the majority of amazing birth moms out there who make hard decisions in the best interests of their children but i can t help but feel jaded by the experience
186,i feel unloved you are there to remind me you love me,0,sadness,i feel unloved you are there to remind me you love me
187,i feeling almost defeated,0,sadness,i feeling almost defeated
188,i feel helpless about it,0,sadness,i feel helpless about it
189,i feel like im doomed until he returns,0,sadness,i feel like im doomed until he returns
190,i feel it all one of the many standouts from feist s dare i say masterpiece album the reminder broke down the usual barrier between audience and performer,0,sadness,i feel it all one of the many standouts from feist s dare i say masterpiece album the reminder broke down the usual barrier between audience and performer
191,i still feel terrible right now as this is what happened on monday night but i needed some time to recover before sharing and have been sleeping since it happened,0,sadness,i still feel terrible right now as this is what happened on monday night but i needed some time to recover before sharing and have been sleeping since it happened
192,i have days were i prefer to be the submissive it is a simple life i feel on the days i am submissive i do my best to please him he seems to be happy enough after two years of having me,0,sadness,i have days were i prefer to be the submissive it is a simple life i feel on the days i am submissive i do my best to please him he seems to be happy enough after two years of having me
193,i feel so regretful not going but,0,sadness,i feel so regretful not going but
194,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair,0,sadness,i feel ugly i m more inclined to wear ratty jeans and a sweatshirt than a beautiful dress though i might still wear a pair of heels around my house to boost my self esteem ever so slightly but i definitely won t bother to buy a new pair
195,i am still feeling extremely damaged from many different events some of them seeming to repeat themselves i havent given up nor do i ever plan on,0,sadness,i am still feeling extremely damaged from many different events some of them seeming to repeat themselves i havent given up nor do i ever plan on
196,i looked at my son run up was rubbish dad your step was shocking where were your arms i smiled at him seasons best though i said feeling a tad foolish and i still had two jumps left ground swallow me now,0,sadness,i looked at my son run up was rubbish dad your step was shocking where were your arms i smiled at him seasons best though i said feeling a tad foolish and i still had two jumps left ground swallow me now
197,i do have good days and bad days but the bad days are awful resulting in constant trips to the bathroom a lot of pain bloat and discomfort lots of blood and just feeling completely exhausted and rundown,0,sadness,i do have good days and bad days but the bad days are awful resulting in constant trips to the bathroom a lot of pain bloat and discomfort lots of blood and just feeling completely exhausted and rundown
198,i spent the day laughing so much i can feel my jaw aching for all the exercises and stretches it made,0,sadness,i spent the day laughing so much i can feel my jaw aching for all the exercises and stretches it made
199,i feel so helpless and only hope that somehow they are receiving their dose of drugs that will help them get threw these hard times,0,sadness,i feel so helpless and only hope that somehow they are receiving their dose of drugs that will help them get threw these hard times
200,i ve been feeling a bit cranky with the kids this week cranky baby whiny year old demanding preschooler so i wanted to stop and remember how blessed i really am,3,anger,i ve been feeling a bit cranky with the kids this week cranky baby whiny year old demanding preschooler so i wanted to stop and remember how blessed i really am
